,index,asin,Brand,Model,title,image,url,Price,Sales,rating
274,274,B07BFCZYRM,Samsung,Samsung Galaxy S9 Pl,Samsung Galaxy S9 Plus Verizon + GSM Unlocked 64GB Midnight Black (Renewed),https://m.media-amazon.com/images/I/71SWW5LsZ0L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Unlocked-Midnight-Certified-Refurbished/dp/B07BFCZYRM,374.95,355,4.124161073825503
275,275,B07BFHTJTK,Samsung,Samsung Galaxy S7 Ed,"Samsung Galaxy S7 Edge G935v 32GB Smartphone for Verizon Wireless CDMA, Coral Blue (Renewed)",https://m.media-amazon.com/images/I/614dxJxan4L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Smartphone-Wireless-Certified-Refurbished/dp/B07BFHTJTK,179.0,27,3.619047619047619
276,276,B07BFPDGNX,Samsung,Samsung Galaxy Note ,Samsung Galaxy Note 8 SM-N950U 64GB AT&T - Orchid Grey,https://m.media-amazon.com/images/I/61kad0RN1eL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-64GB-Orchid/dp/B07BFPDGNX,440.99,54,4.51063829787234
277,277,B07BH74WCW,Samsung,Samsung B690 convoy ,Samsung B690 convoy 4-verizon wireless (Renewed),https://m.media-amazon.com/images/I/81ayyV5v73L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-4-verizon-wireless-Certified-Refurbished/dp/B07BH74WCW,58.99,13,2.923076923076923
278,278,B07BHT4KGM,Samsung,Samsung Galaxy S9 Sm,"Samsung Galaxy S9 Sm-G9600 Dual Sim 5.8"" Super Amoled, 64GB, 4 GB RAM, Factory Unlocked - No Warranty Midnight Black",https://m.media-amazon.com/images/I/71uI+nAzruL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SM-G9600-Factory-Unlocked/dp/B07BHT4KGM,503.09,95,3.966666666666667
279,279,B07BR995NC,Samsung,Samsung Galaxy S8 Ac,"Samsung Galaxy S8 Active (G892A) AT&T Military-Grade Durable Smartphone w/ 5.8"" Shatter-Resistant Glass, Meteor Gray",https://m.media-amazon.com/images/I/61zSaCsk-LL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Active-SM-G892A-Unlocked/dp/B07BR995NC,800.0,94,3.9367088607594938
280,280,B07BZXDZKN,HUAWEI,Huawei Y6 2018 ATU-L,"Huawei Y6 2018 ATU-LX3 5.7"" FullView Display 16GB 2GB RAM Dual SIM 13 MP + 2 MP 4128 x 3096 Pixels Dual-LED Flash A-GPS Fingerprint Factory Unlocked No Warranty US (Gold)",https://m.media-amazon.com/images/I/61kTETZIpTL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-FullView-Dual-LED-Fingerprint-Unlocked/dp/B07BZXDZKN,169.99,27,3.45
281,281,B07C2VFMN2,Motorola,Motorola Z3 Play & M,Motorola Z3 Play & Moto Power Pack - Unlocked (AT&T/Sprint/T-Mobile/Verizon) - 64GB - Deep Indigo (US Warranty) - PA9S0000US,https://m.media-amazon.com/images/I/61N-Axwzz1L._AC_UY218_ML3_.jpg,https://www.amazon.com/Moto-Z3-Play-Power-Pack/dp/B07C2VFMN2,229.99,84,4.073529411764706
282,282,B07C4W6KR9,Samsung,Samsung Galaxy J7 V ,Samsung Galaxy J7 V Verizon Wireless - Silver (Renewed),https://m.media-amazon.com/images/I/31ybI0bbr-L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Verizon-Wireless-Refurbished/dp/B07C4W6KR9,119.95,4,5.0
283,283,B07C5X8Q3K,Sony,Sony Xperia XZ2 H821,Sony Xperia XZ2 H8216 Used Like New 64GB 5.7' US & Latin 4G LTE Factory Unlocked Smartphone (Deep Green),https://m.media-amazon.com/images/I/31UZHHv4nLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Sony-Xperia-Factory-Unlocked-Smartphone/dp/B07C5X8Q3K,362.75,6,5.0
